actor_id,area,datasource_id
IT FUG,33,OEF:WD:city-area:20221105
IT F8T,16,OEF:WD:city-area:20221105
IT GUO,40,OEF:WD:city-area:20221105
IT MOS,27,OEF:WD:city-area:20221105
IT LIO,71,OEF:WD:city-area:20221105
IT PIC,27,OEF:WD:city-area:20221105
IT P4G,17,OEF:WD:city-area:20221105
IT FFN,35,OEF:WD:city-area:20221105
IT PII,24,OEF:WD:city-area:20221105
IT POF,31,OEF:WD:city-area:20221105
IT IPP,32,OEF:WD:city-area:20221105
IT RCC,43,OEF:WD:city-area:20221105
IT SIL,16,OEF:WD:city-area:20221105
IT VN8,25,OEF:WD:city-area:20221105
IT SVF,28,OEF:WD:city-area:20221105
IT XRO,15,OEF:WD:city-area:20221105
IT SG9,19,OEF:WD:city-area:20221105
IT RAO,72,OEF:WD:city-area:20221105
IT SHR,11,OEF:WD:city-area:20221105
IT VSL,18,OEF:WD:city-area:20221105
IT TMI,56,OEF:WD:city-area:20221105
JP NGO,326,OEF:WD:city-area:20221105
JP YOK,7260,OEF:WD:city-area:20221105
JP HAC,69,OEF:WD:city-area:20221105
JP YOZ,96,OEF:WD:city-area:20221105
IT CLF,51,OEF:WD:city-area:20221105
JP MTZ,85,OEF:WD:city-area:20221105
JP NIJ,28,OEF:WD:city-area:20221105
JP NAK,15,OEF:WD:city-area:20221105
