actor_id,lat,lng,datasource_id
AR GGL,-246667,-650500,UNLOCODE:2023-2
AR GDG,-329500,-687833,UNLOCODE:2023-2
AR GLS,-331000,-605667,UNLOCODE:2023-2
AR GLV,-364000,-569667,UNLOCODE:2023-2
AR GMA,-369833,-571167,UNLOCODE:2023-2
AR GPC,-354500,-586500,UNLOCODE:2023-2
AR GRM,-321833,-602000,UNLOCODE:2023-2
AR GNR,-390333,-675833,UNLOCODE:2023-2
AR GRD,-346167,-589500,UNLOCODE:2023-2
AR JGR,-347000,-583833,UNLOCODE:2023-2
AR GOB,-329500,-688500,UNLOCODE:2023-2
AR VLV,-303833,-604167,UNLOCODE:2023-2
AR GRC,-271833,-554667,UNLOCODE:2023-2
AR GCR,-329333,-688333,UNLOCODE:2023-2
AR GOC,-347667,-586167,UNLOCODE:2023-2
AR GOD,-346667,-593500,UNLOCODE:2023-2
AR GRB,-328500,-607000,UNLOCODE:2023-2
AR GBG,-344833,-587167,UNLOCODE:2023-2
AR GUY,-331500,-593333,UNLOCODE:2023-2
AR GHU,-330167,-585167,UNLOCODE:2023-2
AR GYM,-329000,-687833,UNLOCODE:2023-2
AR GUM,-273167,-653333,UNLOCODE:2023-2
AR GUR,-336667,-604000,UNLOCODE:2023-2
AR HAE,-346333,-585833,UNLOCODE:2023-2
AR HER,-324167,-637333,UNLOCODE:2023-2
AR HVB,-360833,-614167,UNLOCODE:2023-2
AR HIC,-232000,-635667,UNLOCODE:2023-2
AR HUG,-338000,-613333,UNLOCODE:2023-2
AR HUM,-314167,-610833,UNLOCODE:2023-2
AR HUR,-346000,-586333,UNLOCODE:2023-2
AR IBY,-337333,-591667,UNLOCODE:2023-2
AR IGR,-255667,-545667,UNLOCODE:2023-2
AR IAL,-358500,-582000,UNLOCODE:2023-2
AR BUI,-333500,-601333,UNLOCODE:2023-2
AR IGI,-331167,-684167,UNLOCODE:2023-2
AR JJL,-348833,-581833,UNLOCODE:2023-2
AR ILH,-390833,-672333,UNLOCODE:2023-2
AR IMZ,-343667,-587333,UNLOCODE:2023-2
AR INW,-387833,-622667,UNLOCODE:2023-2
AR ICA,-339667,-596667,UNLOCODE:2023-2
AR ICV,-347167,-585667,UNLOCODE:2023-2
AR ITZ,-346667,-586667,UNLOCODE:2023-2
AR WNL,-346000,-591667,UNLOCODE:2023-2
AR JPZ,-345000,-587500,UNLOCODE:2023-2
AR JSM,-440333,-704833,UNLOCODE:2023-2
AR JUA,-312667,-641667,UNLOCODE:2023-2
AR NIN,-331500,-684833,UNLOCODE:2023-2
AR JNI,-345833,-609667,UNLOCODE:2023-2
AR JUN,-399333,-710833,UNLOCODE:2023-2
AR JPX,-328833,-626667,UNLOCODE:2023-2
AR LCR,-313333,-643333,UNLOCODE:2023-2
AR LCT,-334333,-633000,UNLOCODE:2023-2
AR LLM,-337333,-691167,UNLOCODE:2023-2
AR LES,-271167,-594500,UNLOCODE:2023-2
AR LFL,-310833,-645000,UNLOCODE:2023-2
AR LPA,-307500,-596500,UNLOCODE:2023-2
AR LPM,-334667,-675500,UNLOCODE:2023-2
AR LPG,-348500,-578833,UNLOCODE:2023-2
AR LQU,-221000,-656167,UNLOCODE:2023-2
AR LAR,-346333,-588000,UNLOCODE:2023-2
AR LAT,-277333,-642000,UNLOCODE:2023-2
AR LTA,-330500,-656167,UNLOCODE:2023-2
AR LFR,-347500,-585833,UNLOCODE:2023-2
AR LNS,-347000,-584000,UNLOCODE:2023-2
AR VDY,-330333,-590167,UNLOCODE:2023-2
AR LCS,-333000,-680333,UNLOCODE:2023-2
AR COM,-330333,-689833,UNLOCODE:2023-2
AR LHE,-328500,-688167,UNLOCODE:2023-2
AR LHG,-331000,-642833,UNLOCODE:2023-2
AR LPS,-340167,-591167,UNLOCODE:2023-2
AR LPD,-345833,-684500,UNLOCODE:2023-2
AR LAP,-326833,-615333,UNLOCODE:2023-2
AR LVL,-313167,-642833,UNLOCODE:2023-2
AR LAV,-282000,-651333,UNLOCODE:2023-2
AR LNO,-276000,-553167,UNLOCODE:2023-2
AR LRS,-272167,-655333,UNLOCODE:2023-2
AR LMC,-358667,-579000,UNLOCODE:2023-2
AR LIM,-340500,-592000,UNLOCODE:2023-2
AR LLO,-347833,-584333,UNLOCODE:2023-2
AR LBA,-381500,-587833,UNLOCODE:2023-2
AR LHR,-345333,-585833,UNLOCODE:2023-2
AR LMZ,-347667,-583833,UNLOCODE:2023-2
AR LDM,-346500,-585333,UNLOCODE:2023-2
AR LCP,-380667,-706167,UNLOCODE:2023-2
AR LBL,-313167,-642167,UNLOCODE:2023-2
AR LCH,-311667,-581833,UNLOCODE:2023-2
AR JLF,-345000,-586833,UNLOCODE:2023-2
AR LGN,-348000,-584500,UNLOCODE:2023-2
AR LUJ,-345667,-591000,UNLOCODE:2023-2
AR LCU,-330500,-688667,UNLOCODE:2023-2
AR LUL,-269333,-653500,UNLOCODE:2023-2
AR VLU,-316500,-633667,UNLOCODE:2023-2
AR LZG,-329500,-688167,UNLOCODE:2023-2
AR MAC,-371333,-636667,UNLOCODE:2023-2
AR MGD,-350167,-576167,UNLOCODE:2023-2
AR MAQ,-390667,-673000,UNLOCODE:2023-2
AR MPU,-329833,-688000,UNLOCODE:2023-2
