target_id,actor_id,target_type,baseline_year,target_year,target_value,target_unit,summary,datasource_id,initiative_id
SBTi:353800GBVL72LLMTYM96:2030,353800GBVL72LLMTYM96,Absolute emission reduction,2019,2030,50,percent,Kirin Holdings Co Ltd reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800GBVL72LLMTYM96:2030,353800GBVL72LLMTYM96,Absolute emission reduction,2019,2030,30,percent,Kirin Holdings Co Ltd reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800GBVL72LLMTYM96:2050,353800GBVL72LLMTYM96,Net zero,,2050,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800HDEE0ZYEX4QV91:2030,353800HDEE0ZYEX4QV91,Absolute emission reduction,2016,2030,30,percent,"Eisai Co., Ltd. reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
SBTi:353800HM38HFCB8RGL63:2030,353800HM38HFCB8RGL63,Absolute emission reduction,2017,2030,22,percent,KAO Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800JRMIABSXKHV344:2030,353800JRMIABSXKHV344,Absolute emission reduction,2018,2030,38,percent,"CASIO COMPUTER CO., LTD. reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
SBTi:353800JRMIABSXKHV344:2030,353800JRMIABSXKHV344,Absolute emission reduction,2018,2030,30,percent,"CASIO COMPUTER CO., LTD. reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
SBTi:353800KAJ02XNHLCJW79:2030,353800KAJ02XNHLCJW79,Absolute emission reduction,2019,2030,50,percent,Asahi Group Holdings reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800KAJ02XNHLCJW79:2050,353800KAJ02XNHLCJW79,Absolute emission reduction,2019,2050,100,percent,Asahi Group Holdings reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800KB8G4F9WUJJ886:2030,353800KB8G4F9WUJJ886,Absolute emission reduction,2015,2030,30,percent,LIXIL Group Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800KB8G4F9WUJJ886:2030,353800KB8G4F9WUJJ886,Absolute emission reduction,2015,2030,15,percent,LIXIL Group Corporation reported progress on all SBTs.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800KOFMRGOXSJ5Z65:2050,353800KOFMRGOXSJ5Z65,Net zero,,2050,,nan,nan,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800M1YCTS9JRBJ535:2030,353800M1YCTS9JRBJ535,Absolute emission reduction,2019,2030,82,percent,SoftBank Corp. reported progress for at least one SBT. Information for other SBT(s) could not be publicly found or could not be represented.,SBTi:target_progress:2021-07-31,SBTi
SBTi:353800ND4ZKNZDYKMF33:2030,353800ND4ZKNZDYKMF33,Absolute emission reduction,2019,2030,30,percent,"MITSUI FUDOSAN CO., LTD. reported progress on all SBTs.",SBTi:target_progress:2021-07-31,SBTi
